Thu Jul 26 18:50:48 MSK 2018,Name,IP Address,null
Thu Jul 26 18:50:48 MSK 2018,R77-102240-SW-1,10.252.25.18,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102240-RT-2,10.252.25.17,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102300-RT-1,10.252.25.4,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102221-RT-2,10.252.25.21,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R78-196627-RT-01,10.46.207.21,УФПС г. Санкт-Петербурга и Ленинградской области
Thu Jul 26 18:50:48 MSK 2018,R77-102100-RT-1,10.252.25.28,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102240-RT-1,10.252.25.16,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102300-RT-2,10.252.25.7,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102300-SW-1,10.252.25.8,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-107140-SW-1,10.252.25.6,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-107140-RT-2,10.252.25.5,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-107140-RT-1,10.252.25.1,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102221-SW-1,10.252.25.22,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R50-104040-RT-1,10.252.25.2,УФПС Московской области
Thu Jul 26 18:50:48 MSK 2018,R50-104040-SW-1,10.252.25.12,УФПС Московской области
Thu Jul 26 18:50:48 MSK 2018,R74-456440-RT-01,10.81.186.21,УФПС Челябинской области
Thu Jul 26 18:50:48 MSK 2018,R74-455025-RT-01,10.81.188.133,УФПС Челябинской области
Thu Jul 26 18:50:48 MSK 2018,R77-102975-RT-1,10.252.25.32,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102975-RT-2,10.252.25.33,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R77-102975-SW-1,10.252.25.34,УФПС г. Москвы
Thu Jul 26 18:50:48 MSK 2018,R74-456775-RT-01,10.80.205.181,УФПС Челябинской области
